duration,service_usage,lost_cars,mean_delay_time,effective_interarrival_mean
36000,36000,143,4541.409090909091,526.0
36000,36000,130,4996.88524590164,589.3333333333334
36000,35819,170,4214.971428571429,503.04347826086956
36000,35971,147,4886.147540983607,594.2833333333333
36000,35613,110,4925.466666666666,603.0338983050848
36000,35946,161,4970.524590163935,589.9333333333333
36000,35989,165,5602.654545454546,650.4814814814815
36000,35624,160,5147.338983050848,609.551724137931
36000,36000,172,5280.120689655172,587.1228070175439
36000,36000,135,4643.123076923077,551.375
36000,36000,155,4499.30303030303,538.6769230769231
36000,35981,130,6200.224489795918,688.6041666666666
36000,35901,170,5276.931034482759,617.1228070175439
36000,36000,143,4372.797101449275,518.25
36000,35924,122,4364.089552238806,504.8030303030303
36000,35625,126,4105.958333333333,487.77464788732397
36000,35975,104,4216.12676056338,509.5857142857143
36000,36000,137,4222.197183098591,475.6714285714286
36000,36000,158,5309.824561403509,567.8214285714286
36000,36000,170,5734.148148148148,676.2641509433962
36000,36000,114,3816.608108108108,471.2328767123288
36000,35777,119,4510.742424242424,541.0923076923077
36000,36000,144,5832.981132075472,686.3461538461538
36000,36000,148,5386.875,627.6545454545454
36000,36000,144,5213.948275862069,625.719298245614
36000,35895,126,4555.369230769231,551.328125
36000,36000,170,5241.827586206897,612.6842105263158
36000,35500,154,5456.872727272727,654.0370370370371
36000,35495,135,5042.050847457627,594.7586206896551
36000,34858,123,5351.527272727273,642.7407407407408
36000,35549,165,5309.142857142857,649.6909090909091
36000,35872,133,5247.105263157895,632.875
36000,35966,159,5325.785714285715,624.4909090909091
36000,36000,102,4318.573529411765,517.5223880597015
36000,35926,136,4768.6875,551.7619047619048
36000,35856,137,4372.64705882353,525.3880597014926
36000,35047,123,3998.3571428571427,521.2463768115942
36000,35994,152,4767.619047619048,573.6129032258065
36000,35575,146,5631.444444444444,661.1320754716982
36000,35977,120,4616.215384615384,528.125
36000,36000,131,4891.241379310345,620.8070175438596
36000,35762,133,4862.467741935484,552.0819672131148
36000,35841,160,5691.528301886792,684.0
36000,36000,159,4852.859375,570.968253968254
36000,35777,154,5729.943396226415,667.6730769230769
36000,35800,145,4347.246376811594,526.8382352941177
36000,36000,142,4295.071428571428,509.0
36000,35686,128,3663.759493670886,446.1666666666667
36000,35987,136,5457.12962962963,663.2452830188679
36000,35921,142,5046.633333333333,605.4915254237288
36000,35920,126,5202.5,623.2280701754386
36000,35969,134,5034.983333333334,540.1525423728814
36000,36000,170,5728.62962962963,672.6037735849056
36000,36000,101,4432.55223880597,540.3787878787879
36000,35930,113,4869.216666666666,600.8813559322034
36000,35915,123,6026.0392156862745,711.04
36000,36000,128,4314.823529411765,514.3731343283582
36000,36000,111,4414.014705882353,515.2835820895523
36000,35692,138,5214.6,612.2407407407408
36000,35916,143,5877.764705882353,690.6
36000,35496,157,5463.563636363637,645.1296296296297
36000,35948,123,5800.415094339623,668.2115384615385
36000,35882,132,4585.590909090909,526.5692307692308
36000,36000,137,4529.742424242424,532.876923076923
36000,36000,134,4824.433333333333,572.6949152542373
36000,35518,131,4465.859375,562.3492063492064
36000,35834,150,5747.814814814815,673.0754716981132
36000,35895,116,4597.44262295082,588.8166666666667
36000,35936,139,4873.5901639344265,582.5333333333333
36000,36000,112,4580.738461538462,544.921875
36000,35969,141,5962.686274509804,702.98
36000,36000,150,5267.879310344828,618.9473684210526
36000,35421,111,5510.698113207547,674.9615384615385
36000,36000,146,4521.46875,550.8571428571429
36000,35942,141,4971.327868852459,579.9
36000,35587,161,6255.489795918367,725.8125
36000,35988,125,4931.548387096775,587.0655737704918
36000,36000,135,5505.309090909091,656.2777777777778
36000,36000,165,5539.0,655.9814814814815
36000,35389,141,5027.7,590.7796610169491
36000,36000,165,6168.54,711.3061224489796
36000,36000,131,5072.25,589.1864406779661
36000,36000,172,4841.741935483871,577.8688524590164
36000,36000,104,3702.75,472.2266666666667
36000,36000,138,5519.089285714285,652.290909090909
36000,35985,143,6414.9375,754.3617021276596
36000,35846,130,4403.507692307692,556.28125
36000,36000,132,4898.322580645161,589.1803278688525
36000,35741,116,4837.758064516129,576.5081967213115
36000,36000,105,4598.5625,544.7142857142857
36000,35887,140,5523.254545454545,614.0555555555555
36000,35976,181,5801.207547169812,675.1346153846154
36000,35051,150,4765.5,565.6271186440678
36000,36000,169,5367.8421052631575,639.8392857142857
36000,35553,148,5410.857142857143,641.5454545454545
36000,35304,128,4886.85,593.7796610169491
36000,36000,130,4827.079365079365,572.241935483871
36000,35923,173,4950.639344262295,561.6166666666667
36000,35955,124,4364.848484848485,545.8461538461538
36000,35903,140,4457.895522388059,524.6060606060606
36000,35935,157,5529.218181818182,597.8888888888889
36000,35604,141,4368.164179104478,534.9848484848485
36000,35780,131,5250.456140350877,621.4642857142857
36000,36000,175,4886.888888888889,575.6451612903226
36000,35750,161,5832.254901960784,662.64
36000,35788,123,4288.544117647059,530.3582089552239
36000,35820,117,4744.6984126984125,568.3548387096774
36000,36000,136,5101.338983050848,598.2068965517242
36000,35859,129,4583.892307692307,549.359375
36000,35961,132,4824.349206349207,572.5322580645161
36000,36000,168,6101.48,731.1632653061224
36000,36000,131,4868.672131147541,589.4
36000,36000,156,4897.112903225807,587.672131147541
36000,36000,151,6737.133333333333,763.4318181818181
36000,35827,120,5649.653846153846,697.6666666666666
36000,36000,143,5403.771929824561,641.0535714285714
36000,35816,146,5628.351851851852,642.6603773584906
36000,35252,154,4424.253731343284,528.2727272727273
36000,35902,129,4566.742424242424,498.4923076923077
36000,35939,153,4976.327868852459,596.4666666666667
36000,35148,115,3815.2027027027025,477.64383561643837
36000,35881,136,4518.753846153846,548.21875
36000,35765,111,5310.0526315789475,610.0178571428571
36000,35944,139,6040.7,704.5918367346939
36000,35745,134,4905.779661016949,611.9137931034483
36000,36000,151,4583.358208955224,507.93939393939394
36000,35800,147,4916.65,598.3559322033898
