duration,service_usage,lost_cars,mean_delay_time,effective_interarrival_mean
36000,36000,79,4831.377358490566,342.25714285714287
36000,36000,89,5621.921568627451,355.0990099009901
36000,36000,85,4543.61475409836,295.45454545454544
36000,35978,75,5038.90990990991,316.6909090909091
36000,35855,87,4865.330434782609,314.0438596491228
36000,36000,54,4022.277777777778,281.432
36000,36000,66,3931.5882352941176,300.85593220338984
36000,35772,103,5552.843137254902,339.13861386138615
36000,35937,90,5215.601851851852,328.93457943925233
36000,35381,95,4608.896551724138,306.0
36000,35843,71,3820.1147540983607,293.1652892561983
36000,36000,87,4861.138888888889,334.78504672897196
36000,36000,76,4699.324561403509,314.283185840708
36000,35908,55,4842.213675213675,306.7758620689655
36000,36000,106,5687.84,362.62626262626264
36000,35750,97,5394.067307692308,346.126213592233
36000,35644,87,4928.621621621622,317.75454545454545
36000,36000,90,4773.647540983607,295.60330578512395
36000,35935,98,5494.130841121495,336.85849056603774
36000,35949,87,5444.028571428571,344.52884615384613
36000,35720,91,5827.525252525253,361.9387755102041
36000,35978,91,4531.777777777777,306.7586206896552
36000,35897,61,4289.152671755725,272.3615384615385
36000,36000,79,4677.5210084033615,296.20338983050846
36000,36000,85,4874.169491525424,305.7521367521368
36000,35903,65,4789.646551724138,310.1478260869565
36000,35437,76,4350.884615384615,273.5503875968992
36000,35903,79,5318.941747572816,341.15686274509807
36000,35476,47,3974.4,277.37984496124034
36000,35908,64,4251.890625,280.9763779527559
36000,35990,62,4516.2661290322585,291.4471544715447
36000,35886,41,3811.3565891472867,279.15625
36000,35714,81,4693.553719008264,298.2916666666667
36000,35563,109,6662.9111111111115,399.4157303370786
36000,35904,86,4496.707317073171,283.3360655737705
36000,36000,95,4922.637931034483,310.1913043478261
36000,35843,87,4463.396694214876,294.76666666666665
36000,36000,107,5699.0,351.22549019607845
36000,36000,82,4307.065040650406,294.8196721311475
36000,36000,43,4135.3,302.0840336134454
36000,35849,79,5084.056603773585,335.06666666666666
36000,36000,72,4266.325203252032,292.8524590163934
36000,35932,82,4422.950819672131,294.6694214876033
36000,35977,103,4921.267241379311,310.11304347826086
36000,35838,96,5062.356521739131,313.7719298245614
36000,36000,64,4736.9327731092435,303.59322033898303
36000,35565,100,5846.061855670103,369.4375
36000,35823,95,4572.879032258064,290.5528455284553
36000,35754,105,5238.656862745098,354.7722772277228
36000,35750,74,5097.612612612613,325.05454545454546
36000,35803,55,4332.761538461538,277.05426356589146
36000,36000,67,4355.653543307087,283.92063492063494
36000,36000,110,5278.927272727273,328.88990825688074
36000,36000,89,4509.975206611571,299.2083333333333
36000,35698,93,4610.368852459016,291.24793388429754
36000,36000,85,4333.653225806452,287.5040650406504
36000,35654,75,5242.2830188679245,325.5809523809524
36000,36000,95,5150.151785714285,308.6756756756757
36000,35835,98,5338.495238095238,343.22115384615387
36000,35428,67,4082.7606837606836,302.3448275862069
36000,35972,102,5445.712962962963,332.95327102803736
36000,35874,92,5364.862385321101,327.4074074074074
36000,35966,66,4612.820512820513,301.4913793103448
36000,36000,86,4979.467889908256,329.39814814814815
36000,36000,92,5282.537735849057,333.4190476190476
36000,36000,90,4587.674796747968,294.61475409836066
36000,35668,69,4557.188524590164,291.9504132231405
36000,35893,93,4233.606060606061,271.1832061068702
36000,35477,95,5150.40366972477,319.9537037037037
36000,35900,85,4638.75,298.781512605042
36000,35884,68,4289.64705882353,301.1779661016949
36000,35904,88,4578.56,286.2983870967742
36000,35999,96,5358.3,324.4036697247706
36000,36000,64,4120.277777777777,287.888
36000,35881,66,4262.258333333333,302.0924369747899
36000,35457,75,5200.345454545454,323.1651376146789
36000,36000,74,4450.862903225807,287.4552845528455
36000,35608,85,3971.3211678832117,260.93382352941177
36000,35873,72,4136.174242424242,271.48091603053433
36000,35923,62,4125.73949579832,302.91525423728814
36000,35844,125,5462.231481481482,329.67289719626166
36000,36000,72,4665.976190476191,285.408
36000,36000,88,4518.166666666667,300.92436974789916
36000,35577,79,4271.887931034483,308.02608695652174
36000,34706,77,4147.119658119658,303.44827586206895
36000,35919,57,3926.793893129771,275.3
36000,35916,85,4519.190909090909,317.95412844036696
36000,35574,92,5412.71568627451,351.61386138613864
