duration,service_usage,lost_cars,mean_delay_time,effective_interarrival_mean
36000,36000,73,4909.954545454545,323.6697247706422
36000,35976,91,5068.854545454546,322.1467889908257
36000,35599,74,4136.1461538461535,273.3565891472868
36000,36000,79,5301.390476190476,344.1730769230769
36000,35935,72,3638.530201342282,241.67567567567568
36000,35131,89,5866.020833333333,373.2105263157895
36000,35537,83,4135.237704918033,291.12396694214874
36000,35983,79,4588.521739130435,307.8070175438597
36000,36000,83,4984.626086956522,313.7280701754386
36000,35948,76,4522.76,288.83870967741933
36000,36000,112,5655.2692307692305,343.3980582524272
36000,36000,97,5659.25,358.5858585858586
36000,36000,76,4868.153846153846,344.79611650485435
36000,36000,77,4125.328358208955,268.9924812030075
36000,35893,65,4417.913385826771,278.8968253968254
36000,36000,65,4865.420168067227,291.53389830508473
36000,35893,75,3770.2374100719426,258.0144927536232
36000,35703,66,4033.2255639097743,263.5151515151515
36000,35129,57,4035.3308270676694,265.280303030303
36000,36000,84,4517.943089430894,292.172131147541
36000,35456,79,4085.682926829268,291.54918032786884
36000,35948,92,4461.162790697675,279.9140625
36000,36000,87,4241.304,288.5483870967742
36000,36000,67,4283.952755905511,283.41269841269843
36000,36000,46,3441.3169014084506,252.6595744680851
36000,35896,82,4800.644628099173,295.7916666666667
36000,35749,95,4990.089285714285,299.6126126126126
36000,35791,84,4186.576923076923,276.09302325581393
36000,36000,90,4817.586206896552,312.74782608695654
36000,35947,99,4984.125,322.44144144144144
36000,35878,60,4424.5327868852455,296.1404958677686
36000,35762,64,4376.951612903225,289.0162601626016
36000,35978,90,5051.366972477064,331.0
36000,35770,81,4446.691729323308,268.84090909090907
36000,35406,81,5060.4324324324325,298.8909090909091
36000,36000,62,4019.4253731343283,267.22556390977445
36000,35970,75,4306.9682539682535,283.704
36000,35973,79,4772.677685950413,299.21666666666664
36000,36000,70,3934.4379562043796,257.30882352941177
36000,35938,89,5573.158878504673,337.811320754717
36000,35983,51,4331.967741935484,288.5609756097561
36000,36000,83,4094.9153846153845,278.49612403100775
36000,36000,55,4414.296610169492,305.0
36000,35931,63,4534.737288135593,301.96581196581195
36000,35821,102,5362.0952380952385,341.13461538461536
36000,35478,86,5587.163461538462,341.6407766990291
36000,36000,72,4296.612903225807,290.6747967479675
36000,35370,60,4766.706896551724,305.9130434782609
36000,35996,50,4407.631578947368,315.57522123893807
36000,35891,87,5181.8125,317.63963963963965
36000,35692,98,4942.474137931034,309.7913043478261
36000,35463,82,4846.75,316.7927927927928
36000,35983,95,4640.798319327731,303.22033898305085
36000,36000,92,4690.432203389831,306.8888888888889
36000,36000,81,4421.949579831933,302.228813559322
36000,35850,53,4023.455223880597,264.0751879699248
36000,35457,70,4360.790322580645,286.1219512195122
36000,36000,89,4759.168141592921,315.625
36000,35975,84,4623.116666666667,297.42857142857144
36000,35991,52,4059.909090909091,298.8833333333333
36000,36000,56,4075.4496124031007,279.734375
36000,35916,68,4135.9112903225805,282.390243902439
36000,36000,64,4041.7969924812032,269.5378787878788
36000,36000,75,5440.757009345794,333.4622641509434
36000,36000,87,4220.102362204724,285.2142857142857
36000,35857,111,5329.675675675676,325.08181818181816
