duration,service_usage,lost_cars,mean_delay_time,effective_interarrival_mean
36000,35799,68,4312.786885245901,289.68595041322317
36000,36000,93,5240.222222222223,333.4859813084112
36000,35046,78,6019.533333333334,393.0
36000,35545,91,4470.856,285.41129032258067
36000,35930,77,4546.95,299.9075630252101
36000,36000,94,4737.628318584071,319.94642857142856
36000,35697,104,4385.936,286.98387096774195
36000,35946,108,5063.198275862069,306.76521739130436
36000,36000,87,5232.85046728972,331.8490566037736
36000,35306,63,3891.8091603053435,269.4769230769231
36000,35966,58,3714.1194029850744,267.2105263157895
36000,35827,93,4992.313043478261,310.37719298245617
36000,35682,83,4241.0390625,276.68503937007875
36000,35897,71,4861.2477876106195,319.6607142857143
36000,35991,69,4664.949579831933,296.29661016949154
36000,35924,75,4697.735042735043,306.9310344827586
36000,35519,73,4262.104,284.1532258064516
36000,35713,100,4988.4051724137935,310.6608695652174
36000,35940,85,5718.83962264151,339.0095238095238
36000,36000,90,4476.32,288.80645161290323
36000,35841,49,4030.1666666666665,261.9051094890511
36000,35903,129,5357.731481481482,333.06542056074767
36000,35591,67,4670.431034482759,305.03478260869565
36000,36000,71,4656.065573770492,293.08264462809916
36000,35910,94,5451.396226415094,336.5238095238095
36000,35702,78,4056.8920863309354,255.44927536231884
36000,35901,52,3856.123188405797,255.47445255474452
36000,35775,76,4364.943548387097,285.5365853658537
36000,36000,87,5013.427350427351,308.62931034482756
36000,35945,70,3685.3,276.5581395348837
36000,36000,79,4581.725806451613,288.7317073170732
36000,35975,85,4888.368421052632,318.23893805309734
36000,35892,63,4678.537190082645,297.44166666666666
36000,35605,83,4403.539682539683,279.096
36000,35946,102,5412.714285714285,338.52884615384613
36000,36000,86,4659.416,283.2016129032258
36000,35597,50,3620.2913385826773,278.94444444444446
36000,36000,93,4676.873949579832,302.49152542372883
36000,35997,99,4759.810344827586,311.11304347826086
36000,35667,60,4167.285714285715,282.68
36000,35996,109,5746.21359223301,347.4313725490196
36000,36000,102,4845.0,289.7886178861789
36000,36000,89,5510.390476190476,336.72115384615387
36000,35852,70,4477.911504424779,317.4732142857143
36000,36000,65,4570.333333333333,302.03361344537814
36000,35497,108,4813.486725663717,314.76785714285717
36000,36000,101,5418.7663551401865,331.33962264150944
36000,36000,70,4707.262295081967,294.4793388429752
36000,35581,84,5426.107843137255,348.86138613861385
36000,36000,96,4967.149122807017,318.08849557522126
36000,36000,54,3990.971223021583,259.1449275362319
36000,36000,123,6010.8877551020405,364.7113402061856
36000,35890,50,3553.4651162790697,276.5390625
36000,36000,86,4593.21186440678,303.8974358974359
36000,35460,112,5240.926605504587,328.4259259259259
36000,35461,85,4283.100775193799,274.6640625
36000,36000,90,5170.731481481482,334.5700934579439
36000,36000,73,4647.45,297.4453781512605
36000,35938,114,4725.44262295082,286.6942148760331
36000,35923,87,4810.0940170940175,306.05172413793105
36000,36000,63,4300.6328125,281.29133858267716
36000,35433,72,3597.023076923077,271.93798449612405
36000,36000,90,4794.9504132231405,297.3833333333333
36000,35752,61,3794.1,256.9712230215827
36000,35927,84,4601.815789473684,311.7699115044248
36000,36000,81,4574.546218487395,290.14406779661016
36000,35929,111,5264.616071428572,322.1621621621622
36000,35948,102,5353.715596330275,324.8888888888889
36000,35444,97,5442.778846153846,331.75728155339806
36000,35753,64,4512.775,297.47899159663865
36000,35953,94,4084.7578125,278.9212598425197
36000,35779,84,5330.59,360.9191919191919
36000,36000,100,5174.044642857143,323.07207207207205
36000,36000,103,5224.918181818181,320.3394495412844
36000,36000,86,4547.90756302521,304.6525423728813
36000,35537,92,4547.836206896552,309.4173913043478
36000,36000,107,4788.14406779661,307.20512820512823
36000,35920,86,5318.709090909091,327.6605504587156
36000,36000,94,5132.423423423424,312.55454545454546
36000,36000,112,5429.820754716981,339.62857142857143
36000,35932,116,5975.121212121212,354.234693877551
36000,36000,99,5099.791304347826,307.49122807017545
36000,36000,78,4087.1052631578946,266.1136363636364
36000,35798,113,6288.442105263158,374.5
36000,36000,97,4987.9915254237285,302.44444444444446
36000,35843,95,5386.101851851852,332.8130841121495
36000,36000,89,5136.936936936937,323.6818181818182
36000,36000,76,4697.9327731092435,304.53389830508473
36000,36000,61,4527.6016260162605,294.5245901639344
36000,35909,85,4908.911504424779,320.79464285714283
36000,35845,82,5300.384615384615,343.97087378640776
36000,35798,100,4495.863247863248,307.17241379310343
36000,36000,77,4659.663793103448,311.8521739130435
36000,36000,77,4469.577586206897,307.9913043478261
36000,34716,87,4281.455284552845,283.672131147541
36000,36000,92,4836.586206896552,312.23478260869564
36000,35985,55,4893.530973451328,318.83035714285717
36000,34874,89,5269.9473684210525,373.1063829787234
36000,35895,96,5431.527777777777,327.9252336448598
36000,35776,101,6087.354838709677,382.89130434782606
36000,36000,71,4428.041666666667,301.9495798319328
36000,36000,89,4675.0672268907565,295.8220338983051
36000,35922,65,3982.3566433566434,250.7394366197183
36000,36000,88,4658.287037037037,336.0
36000,35833,70,4089.7462686567164,267.3233082706767
36000,35396,96,5378.9537037037035,319.5327102803738
36000,35829,84,4226.354838709677,289.5528455284553
36000,35933,78,4469.79674796748,286.27868852459017
36000,35897,84,4386.35593220339,304.0
36000,35964,77,5023.315315315315,320.5
36000,36000,87,4618.243902439024,292.4754098360656
36000,35946,79,4417.920353982301,316.30357142857144
36000,35932,97,4413.969230769231,275.50387596899225
36000,35926,96,4360.608333333334,299.672268907563
36000,35775,82,4942.6016949152545,305.11965811965814
36000,34697,92,5889.236559139785,360.0978260869565
36000,35540,97,4839.785123966943,289.46666666666664
36000,36000,83,4541.25,282.33858267716533
36000,35969,87,4873.256637168141,310.7767857142857
36000,35906,57,4417.875,292.109243697479
36000,35702,104,5482.266055045871,323.0925925925926
36000,36000,98,6048.145833333333,378.06315789473683
36000,36000,99,4863.183333333333,295.73949579831935
36000,35836,88,4541.4049586776855,295.2416666666667
36000,35969,52,3587.2214285714285,257.294964028777
36000,35945,63,4565.596638655462,304.1101694915254
36000,35788,78,4750.620689655172,304.2
36000,35235,83,4454.94214876033,292.175
36000,35899,97,5802.294117647059,346.7722772277228
36000,35609,83,4908.711711711711,312.9727272727273
36000,35976,59,4144.751879699248,271.09090909090907
36000,35805,112,5602.273584905661,337.5047619047619
36000,35987,66,4157.153846153846,305.0086206896552
36000,36000,55,4175.146551724138,305.0173913043478
36000,36000,103,5183.769911504425,318.80357142857144
36000,35876,66,4574.90243902439,283.12295081967216
36000,35666,79,4965.936936936937,321.3181818181818
36000,36000,87,4266.171875,279.8346456692913
36000,35790,111,4996.330434782609,311.1666666666667
36000,35951,76,4349.291666666667,299.453781512605
36000,36000,56,4245.3983739837395,293.1885245901639
36000,35994,111,5660.718446601942,345.98039215686276
36000,35813,65,4135.992248062015,277.359375
36000,36000,57,4493.424,287.1774193548387
36000,35829,63,4210.077586206897,304.10434782608695
36000,36000,62,4353.310924369748,300.27966101694915
36000,36000,98,4988.543859649123,304.4424778761062
36000,35663,90,5060.7192982456145,310.46017699115043
36000,35612,80,5032.653846153846,347.18446601941747
36000,36000,83,4664.5084745762715,305.0940170940171
